Latitude,Longitude,Max Altitude,Max Position upwind,Max Position parallel to wind,Lateral Distance (meters),Lateral Direction (Â°),Parachute failed
9.999784746320914,10.000639549425156,15.191202186898794,69.9429804501623,0.,73.93410197090412,-0.33007556800121907,False
9.999362562452339,10.000615678579893,27.931934912841854,67.33254007064222,5.877135500981594,97.82311204434718,-0.8116428032057419,False
9.999434294679826,10.00059216605657,22.279159078555065,64.76876124215217,0.06723868531581668,90.33331389754328,-0.7714341503689608,False
9.999685933516105,10.000678125239864,18.205724456533144,74.16174345373842,0.06500499381320765,81.9902867435236,-0.44054674038111336,False
9.999424185568492,10.000710683307501,22.748967629261042,77.72839481084605,0.,100.74673921521429,-0.6896589446142277,False
9.999004580103556,10.000650669810687,31.21650487095746,71.16858586015336,0.,131.6951546010979,-0.9999644243146343,False
9.998655013414734,10.000511891530763,34.357265613972025,55.993519116697776,0.,159.85380808415243,-1.2130041021324032,False
9.999267189195011,10.000680894694463,26.06521415285548,74.46873258982124,0.,110.45497934617559,-0.8309659682904708,False
9.99931127644454,10.000530855570643,26.05842839592547,58.06277291820084,0.009600814960903705,96.1722760759632,-0.922705165199957,False
9.99960001282513,10.000622202655512,20.39028569904015,68.04971167179879,0.05309843532647155,81.32057880945004,-0.5794553953857663,False
9.999507149321364,10.000624427729713,20.40328266537982,68.29242997088097,0.,87.60001512298153,-0.6768376958148337,False
9.9992788507795,10.000593635463282,26.84592557282639,64.92847510339575,0.05429057645872366,103.24735379383455,-0.8907903407753222,False
9.999742519584258,10.000671418919044,17.9806106138502,73.42832075409736,0.06640891747674221,78.82476515826039,-0.37217474839163533,False
9.999367256367785,10.000703731981101,23.685679115892057,76.96593369926985,0.,104.33118134799462,-0.7411808577595739,False
9.999815365079234,10.00068239203852,15.238513772033443,74.62837293270071,0.,77.40723996923369,-0.2687608254855019,False
9.999402772035555,10.000620561053179,26.70594447756697,67.86700266041349,4.64881011245397,95.00675879117583,-0.7751274005259219,False
9.999695137198387,10.000643613088435,16.539278410574433,70.38739445488052,0.,78.14237603112973,-0.44928399620707765,False
9.99920686716535,10.000704775410178,26.123604531305574,77.08751458520412,0.,117.20431325270047,-0.8531368257434121,False
9.999763258174987,10.000605564963852,18.38489058167088,66.22634117402859,0.06256874567265565,71.27783135461578,-0.37874455110648564,False
9.999457586817167,10.000565889177167,22.92900915665376,61.89621673791331,0.000300546828629841,86.46548998044742,-0.7731053591509017,False
9.999632319763077,10.00062527401305,18.41264525082442,68.38177996948092,0.,79.69627751821814,-0.5393751216825737,False
9.9997283908455,10.000687036956924,13.425831925388351,74.35112218208207,0.,80.1110355748387,-0.3815170168615605,False
9.999318426701901,10.000549817932619,24.230848240110273,60.14012023613506,0.,96.81306036895432,-0.9006628233043564,False
9.999700447006221,10.000605163340204,20.244977452352458,66.18362538068733,1.4896522962793652,74.10927119211456,-0.4667436563710555,False
9.999495914664328,10.00063209968115,23.155172065832815,69.13236157451767,0.,89.03857015353313,-0.6818858930689929,False
